ARK	200	214	214$c	700	300$a
ark:/12148/cb469768975	 $a Abîmes $b Texte imprimé $f Jonathan Reynolds	 $a Lévis (Canada) $c Alire $d DL 2020¤ $a Ivry $c Interforum Editis¤ $a impr. au Canada	Alire¤Interforum Editis	 $3 17833475 $a Reynolds $b Jonathan $f 1980-.... $4 070	
ark:/12148/cb470045970	 $a Géantes $b Texte imprimé $e roman $f Murielle Magellan	 $a [Paris] $c Mialet-Barrault éditeurs $d DL 2021	Mialet-Barrault éditeurs	 $3 14476389 $o ISNI0000000010831773 $a Magellan $b Murielle $f 1967-.... $4 070	
ark:/12148/cb469498889	 $a Sexy summer $b Texte imprimé $e roman $f Mathilde Alet	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 18031440 $o ISNI0000000508133702 $a Alet $b Mathilde $4 070	
ark:/12148/cb46987488j	 $a Rock away $b Texte imprimé $e pour Patti Smith $f Liliane Laurent	 $a [Charpey] $c Atelier du hanneton $d impr. 2021¤ $a 26-Charpey $c Impr. Atelier du hanneton	Atelier du hanneton¤Impr. Atelier du hanneton	 $3 17810106 $a Laurent $b Liliane $f 1951-.... $4 070	
ark:/12148/cb46984948z	 $a Arrogant Highlander $b Texte imprimé $f Mina Zadig	 $a Paris $c Luv $d DL 2022¤ $a impr. en République tchèque	Luv	 $3 18003810 $o ISNI0000000506608399 $a Zadig $b Mina $4 070	
ark:/12148/cb469792888	 $a Éclipses $b Texte imprimé $f Raphaël Saint-Remy	 $a Paris $c l'Oscillographe $d DL 2022¤ $a impr. en Bulgarie	l'Oscillographe	 $3 14223603 $o ISNI0000000031630292 $a Saint-Rémy $b Raphaël $f 1965-.... $4 070	
ark:/12148/cb469586087	 $a La Bretonne de Sedan $b Texte imprimé $f Daniel Grandjean	 $a Bouvellemont $c Éditions Noires terres $d DL 2021¤ $a 08-Vouziers $c Impr. Félix	Éditions Noires terres¤Impr. Félix	 $3 17933887 $a Grandjean $b Daniel $f 1949-.... $4 070	
ark:/12148/cb469590780	 $a Agama $b Texte imprimé $f Pierre Amrouche $g [peintures de] Akira Inumaru	 $a Paris $c Area $d 2021	Area	 $3 14433095 $o ISNI0000000114746696 $a Amrouche $b Pierre $f 1948-.... $4 070	
ark:/12148/cb469500288	 $a Arts d'Asie $b Texte imprimé $e vente, Paris, 29 janvier 2021 $f Delon-Hoebanx	 $a Paris $c Delon-Hoebanx $d [2021]	Delon-Hoebanx		
ark:/12148/cb46946618v	 $a Noetyka $b Texte imprimé $f Krysztof Paczos	 $a Béziers $c Didaskalos éditions $d 2021	Didaskalos éditions	 $3 17833255 $o ISNI0000000041052035 $a Paczos $b Krzysztof $f 1963-.... $4 070	
ark:/12148/cb46969788f	 $a La relève $b Texte imprimé $e roman $f Fanny Chesnel	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 16266247 $o ISNI000000011528629X $a Chesnel $b Fanny $4 070	
ark:/12148/cb469686282	 $a Rouge cendre $b Texte imprimé $f Julie Manarra	 $a Paris $c Éditions Viviane Hamy $d DL 2022¤ $a impr. en Espagne	Éditions Viviane Hamy	 $3 18022790 $o ISNI0000000507281789 $a Manarra $b Julie $4 070	
ark:/12148/cb470046889	 $a L'éblouissement des petites filles $b Texte imprimé $e roman $f Timothée Stanculescu	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 18033006 $o ISNI000000050816543X $a Stanculescu $b Timothée $f 1991-.... $4 070	
